text, group
difficulty at night, breathing
difficulty when exercising, breathing
difficulty at rest, breathing
cough, breathing
feeling down, mental health
worried/anxious, mental health
sleeplessness, mental health
forgetfulness, mental health
headache, mental health
muscle, mental health
joint, mental health
back, mental health
abdominal, mental health 
irregular beat, cardiac
chest pain, cardiac
chest pressure, cardiac
palpitations, cardiac
dizziness, neurological
sight impairment, neurological
hearing impairment, neurological
loss of tast, neurological 
vomiting, abdominal
constipation, abdominal
loose stool, abdominal
blood in stool, abdominal
fever, constitutional
night sweats, constitutional
unusual tiredness, constitutional
loss of appetite, constitutional
sexual dysfunction, other
menstrual abnormality, other
skin rash/itching, other
